IoU Threshold,Precision (8 nuclei),Recall (8 nuclei),Precision (16 nuclei),Recall (16 nuclei),Precision (32 nuclei),Recall (32 nuclei),Precision (64 nuclei),Recall (64 nuclei),Precision (128 nuclei),Recall (128 nuclei)
0.5,1.0,0.9848484848484849,0.9913793103448276,0.9829059829059829,0.9921875,1.0,1.0,1.0,0.9578947368421052,0.8921568627450981
0.6,0.9692307692307692,0.9545454545454546,0.9827586206896551,0.9743589743589743,0.9921875,1.0,0.9836065573770492,0.9836065573770492,0.9263157894736842,0.8627450980392157
0.7,0.9076923076923077,0.8939393939393939,0.9224137931034483,0.9145299145299145,0.96875,0.9763779527559056,0.9508196721311475,0.9508196721311475,0.7368421052631579,0.6862745098039216
0.8,0.7615384615384615,0.75,0.7413793103448276,0.7350427350427351,0.875,0.8818897637795275,0.7704918032786885,0.7704918032786885,0.4105263157894737,0.38235294117647056
0.9,0.14615384615384616,0.14393939393939395,0.3879310344827586,0.38461538461538464,0.40625,0.4094488188976378,0.01639344262295082,0.01639344262295082,0.0,0.0
